택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10132,경기 가평군,1,12,213,1,동서울 우편집중국,24,36,248,107,중부권 광역우편물류센터,59,72,253,111,부천 우편집중국,84,87,66,21,인천 중구
001P10133,경북 영주시,1,4,57,1,안동 우편집중국,16,27,216,2,중부권 광역우편물류센터,39,50,225,24,안양 우편집중국,62,64,33,2,경기 안양시 동안구
001P10134,충북 청주시 흥덕구,1,3,44,1,청주 우편집중국,15,20,100,2,중부권 광역우편물류센터,32,45,253,1,부천 우편집중국,57,61,70,1,인천 연수구
001P10135,경남 산청군,1,5,82,1,진주 우편집중국,17,27,202,9,중부권 광역우편물류센터,39,57,368,6,강릉 우편집중국,69,74,97,2,강원 속초시
001P10136,강원 속초시,1,6,97,3,강릉 우편집중국,18,36,368,13,중부권 광역우편물류센터,59,70,216,80,안동 우편집중국,82,85,57,16,경북 영주시
001P10137,부산 부산진구,1,5,70,3,부산 우편집중국,17,32,295,22,중부권 광역우편물류센터,44,57,251,45,창원 우편집중국,69,71,49,2,경남 함안군
001P10138,서울 중구,1,5,84,2,동서울 우편집중국,17,29,248,20,중부권 광역우편물류센터,41,59,368,13,강릉 우편집중국,71,75,72,3,강원 동해시
001P10139,충북 옥천군,1,8,135,1,천안 우편집중국,20,27,133,31,중부권 광역우편물류센터,39,49,202,14,진주 우편집중국,61,65,82,2,경남 산청군
001P10140,경남 창녕군,1,5,75,2,창원 우편집중국,17,30,251,14,중부권 광역우편물류센터,42,52,199,43,광주 우편집중국,64,68,71,4,전남 화순군
001P10141,서울 종로구,1,5,84,1,동서울 우편집중국,17,29,248,20,중부권 광역우편물류센터,41,48,133,34,천안 우편집중국,60,66,128,4,충남 태안군
001P10142,경기 이천시,1,6,94,2,성남 우편집중국,18,29,218,21,중부권 광역우편물류센터,41,51,199,38,광주 우편집중국,63,73,202,8,광주 광산구
001P10143,서울 중랑구,1,3,48,1,의정부 우편집중국,15,28,261,3,중부권 광역우편물류센터,40,50,199,29,광주 우편집중국,62,70,150,3,광주 서구
001P10144,경기 안양시 만안구,1,3,33,2,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,52,271,5,포항 우편집중국,64,72,168,1,경북 영천시
001P10145,경기 의왕시,1,4,59,4,안양 우편집중국,16,27,225,18,중부권 광역우편물류센터,39,54,295,30,부산 우편집중국,66,70,70,5,부산 사하구
001P10146,충남 아산시,1,3,45,3,천안 우편집중국,15,22,133,6,중부권 광역우편물류센터,34,44,202,4,진주 우편집중국,56,60,73,1,경남 남해군
001P10147,강원 고성군,1,6,97,1,강릉 우편집중국,18,36,368,13,중부권 광역우편물류센터,59,71,233,52,순천 집중과,83,85,47,19,전남 광양시
001P10148,전북 고창군,1,8,141,3,전주 우편집중국,20,25,93,47,중부권 광역우편물류센터,37,50,256,15,원주 우편집중국,62,67,98,3,충북 단양군
001P10149,경기 고양시 일산서구,1,3,30,1,고양 우편집중국,15,28,268,4,중부권 광역우편물류센터,40,53,268,17,고양 우편집중국,65,67,42,3,서울 마포구
001P10150,부산 금정구,1,4,60,3,부산 우편집중국,16,31,295,11,중부권 광역우편물류센터,43,54,229,40,수원 우편집중국,66,72,110,5,경기 화성시
001P10151,경남 합천군,1,8,149,1,진주 우편집중국,20,30,202,24,중부권 광역우편물류센터,42,47,93,42,전주 우편집중국,59,61,39,4,전북 익산시
001P10152,부산 강서구,1,3,34,2,부산 우편집중국,15,30,295,5,중부권 광역우편물류센터,42,45,53,19,대전 우편집중국,57,61,77,5,충남 논산시
001P10153,경기 이천시,1,6,94,2,성남 우편집중국,18,29,218,21,중부권 광역우편물류센터,41,51,199,38,광주 우편집중국,63,73,202,8,광주 광산구
001P10154,충북 영동군,1,9,164,4,천안 우편집중국,21,28,133,39,중부권 광역우편물류센터,40,55,295,40,부산 우편집중국,67,70,60,2,부산 연제구
001P10155,경북 예천군,1,3,44,1,안동 우편집중국,15,26,216,1,중부권 광역우편물류센터,38,50,248,14,동서울 우편집중국,62,66,84,3,서울 용산구
001P10156,전남 신안군,1,3,45,1,영암 우편집중국,15,29,290,7,중부권 광역우편물류센터,41,52,225,40,안양 우편집중국,64,66,33,4,경기 안양시 동안구
001P10157,전북 전주시 완산구,1,4,53,1,전주 우편집중국,16,21,93,10,중부권 광역우편물류센터,33,44,229,1,수원 우편집중국,56,60,77,1,경기 수원시 권선구
001P10158,경북 김천시,1,6,106,1,대구 우편집중국,18,28,192,33,중부권 광역우편물류센터,40,53,261,21,의정부 우편집중국,65,68,64,2,서울 도봉구
001P10159,경남 창원시 마산합포구,1,3,30,1,창원 우편집중국,15,28,251,3,중부권 광역우편물류센터,40,51,225,32,안양 우편집중국,63,65,49,5,서울 관악구
001P10160,충북 영동군,1,9,164,4,천안 우편집중국,21,28,133,39,중부권 광역우편물류센터,40,51,225,32,안양 우편집중국,63,65,33,5,경기 안양시 만안구
001P10161,경남 김해시,1,3,39,1,부산 우편집중국,15,30,295,5,중부권 광역우편물류센터,42,57,295,69,부산 우편집중국,69,73,70,5,부산 중구
